CustomerGUID,CustomerID,FullName,Segment
7904e29e-6919-454f-b9ba-fe674ce5b687,2,Janice Fletcher,Corporate
8b604a0b-6dd9-4917-b8eb-17796b5df01c,3,Bonnie Potter,Corporate
e41639be-d7e0-4c28-b2a7-b01ab9d5b1a7,5,Ronnie Proctor,Home Office
46d35493-8007-4a8f-bd15-c7df0f18f43e,6,Dwight Hwang,Home Office
e540578a-b94d-4427-a588-0e611f39d1e8,7,Leon Gill,Home Office
8b9654a2-d134-429e-adce-2d67e2d06a03,8,Melanie Garner,Home Office
7e011538-b0d3-423b-8f13-254c2b10becd,9,Lorraine Houston,Home Office
ff9f769b-92c5-4f72-982e-e4e60b29a30f,10,Meredith Norris Thomas,Home Office
d8eb2b26-75b9-483f-a20d-403565d35623,11,Marcus Dunlap,Home Office
b30d2c24-0838-45dc-aec2-2ebd29d208c6,12,Kara Pace,Home Office
2573f8e3-5f43-44c1-bf57-53939e2c3f09,14,Gwendolyn F Tyson,Small Business
8e362b1f-b7fa-4fc9-99a3-a102e8b64f15,15,Timothy Reese,Small Business
6cb0e32a-b56f-4234-b33f-f23511bda9cd,16,Sarah Ramsey,Small Business
c7ffb742-928c-42d8-83f0-29620e44fbb9,17,Florence Hsu Schwarz,Small Business
08f2f6ac-455f-44eb-b062-5cb03fd7325d,18,Laurie Hanna,Small Business
8860bdd4-3bef-4b7a-8699-753b9c90d6df,19,Jim Rodgers,Small Business
3d638bc1-55ba-4771-9344-a8ec7e9a09ee,20,Marion Nolan Kaplan,Small Business
bfc6fd22-8c94-4d22-84eb-4cbed99d0f8a,21,Tony Wilkins Winters,Small Business
af63373e-7611-4977-84f7-7f4b6e5d5c41,23,Lynn Moss,Corporate
d656ba7d-f04e-49a5-8441-b44a15dfd6b8,24,Edna Thomas,Corporate
8e0ad6fb-fd25-45e6-8f48-ae34a2c7f807,25,Virginia Hardison,Corporate
07ae1006-34e1-4691-af96-11c4885839a2,26,Marguerite Kane,Corporate
